Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Danceability,0.602,0.482,0.42,0.67,0.344,0.644,0.457,0.795,0.766,0.556,0.651,0.794,0.717,0.764,0.628,0.655,0.827,0.771,0.929,0.733
Energy,0.947,0.476,0.731,0.643,0.874,0.934,0.523,0.467,0.873,0.319,0.92,0.811,0.851,0.857,0.698,0.797,0.697,0.638,0.625,0.736
Loudness,-5.642,-6.084,-4.415,-6.179,-3.161,-4.113,-7.09,-6.899,-6.381,-8.251,-6.964,-8.966,-3.507,-6.156,-5.608,-4.787,-4.368,-5.342,-5.728,-5.123
Speechness,0.115,0.0321,0.0318,0.0326,0.0777,0.0573,0.0353,0.0352,0.143,0.0281,0.0665,0.038,0.0957,0.181,0.105,0.153,0.142,0.0622,0.14,0.111
Acousticness,0.00842,0.675,0.0945,0.414,0.0841,0.0272,0.606,0.568,0.00627,0.893,0.096,0.0426,0.0791,0.0526,0.0472,0.198,0.122,0.0848,0.289,0.028
Instrumentalness,6.41E-05,5.18E-06,0,0,0,0,6.43E-06,0,0,0,0,1.07E-06,0,0,0.00143,0,0,0,1.20E-06,0
Liveness,0.123,0.0766,0.126,0.0684,0.129,0.326,0.103,0.0938,0.0764,0.0996,0.971,0.101,0.0652,0.881,0.0907,0.067,0.044,0.104,0.386,0.131
Valence,0.883,0.146,0.281,0.684,0.269,0.845,0.376,0.634,0.743,0.294,0.735,0.862,0.955,0.353,0.732,0.839,0.836,0.591,0.578,0.669
Tempo,184.976,143.92,159.736,79.997,185.888,102.014,134.35,114.97,126.988,135.187,96.02,116.047,90.971,100.03,89.976,177.928,118.083,124.039,122.03,147.897
Key,1,2,7,11,0,0,0,2,11,9,11,6,7,11,6,2,11,8,1,7
Mode,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0
Duration,213000,254800,275482,215680,260467,221067,264240,198016,202627,285240,170893,248413,243213,174667,211667,229360,172455,174291,156493,166216
Popularity,61,43,35,35,66,32,52,45,80,82,60,85,58,56,79,81,60,65,60,67
